Sample,X,Y,Z
758,0.9331,-0.0481,-0.0764
759,0.9810,-0.0720,-0.0532
760,1.0864,-0.0757,0.0869
761,0.9956,-0.0056,0.0312
762,1.0310,0.0173,-0.1089
763,1.1228,-0.0364,0.1196
764,1.0190,0.1870,0.0129
765,0.9597,-0.0742,-0.0374
766,1.0984,-0.0232,0.1162
767,0.9529,0.0593,-0.0417
768,0.8972,-0.0762,0.0168
769,1.1646,0.0576,0.0044
770,0.9597,0.0798,-0.0081
771,1.0083,-0.1052,0.0291
772,1.1206,0.0486,0.0383
773,1.0164,0.0024,0.0063
