Sample,X,Y,Z
301,0.9304,-0.0481,-0.0674
302,1.1245,-0.0354,0.0366
303,1.0659,0.0813,-0.0356
304,0.9673,-0.0820,-0.0413
305,1.1362,0.0427,0.1799
306,0.9646,-0.0125,-0.0703
307,0.9207,-0.1125,0.0059
308,1.1089,0.0813,0.0920
309,0.8843,0.0701,-0.2068
310,1.0535,-0.1106,-0.0042
311,1.1228,0.0671,0.1975
312,0.8660,-0.0762,-0.0752
313,1.1333,-0.0486,0.0132
314,1.0906,0.0664,0.0320
315,0.9058,-0.1003,-0.0388
316,1.1929,0.0681,0.0208
317,1.0374,0.0330,0.0579
318,0.9214,-0.1138,0.0159
319,1.0837,0.0806,-0.0466
320,1.0132,-0.0291,-0.0088
321,0.9155,0.0305,-0.1294
322,1.0632,-0.0110,0.0667
323,0.9685,0.0388,-0.0193
324,0.9624,-0.1411,0.0210
325,1.1375,0.0671,-0.1055
326,1.0493,-0.0322,0.0449
327,1.0269,0.0034,0.0437
328,1.0571,-0.0356,-0.0454
329,0.9751,0.0283,0.0598
330,1.0300,-0.0735,0.0195
331,1.0330,0.0576,-0.0886
332,0.9890,-0.0015,0.0547
333,0.8818,-0.0435,0.0735
334,1.0310,-0.0010,-0.0815
335,0.9412,-0.0122,0.0100
336,1.0437,-0.0298,-0.0220
337,1.0652,0.0115,-0.0117
338,1.0122,-0.0466,-0.0469
339,1.0408,-0.0166,0.0403
340,1.0896,0.0398,-0.0500
341,0.9722,-0.0364,-0.0562
342,1.0320,-0.0435,0.0317
343,1.0789,0.0322,0.0251
344,0.9099,-0.0149,-0.0869
345,1.0493,-0.0054,0.0989
346,1.0056,0.0369,-0.0608
347,0.8989,-0.0469,-0.0002
348,1.0759,0.0000,0.1248
349,0.9919,-0.0564,-0.0117
350,0.9634,0.0610,0.0093
351,1.0542,-0.0806,-0.0627
352,1.0620,-0.0083,0.0229
353,0.9741,0.0591,-0.0286
354,0.9910,-0.1028,-0.0105
355,1.0691,0.0198,-0.0198
356,1.0034,-0.0596,0.0046
357,1.0525,-0.0027,0.0112
358,1.0308,0.1467,0.0503
359,0.9067,-0.1931,-0.0115
360,1.0310,0.0354,-0.0505
361,1.0308,0.1057,0.0693
362,1.0298,-0.1980,-0.0081
363,1.0115,0.2544,-0.0630
364,0.8384,-0.1697,-0.0051
365,1.0701,-0.1487,-0.0281
366,1.2026,0.2549,-0.0488
367,0.8364,-0.2153,0.1533
368,1.1384,0.1074,-0.0403
369,0.9568,-0.0647,-0.0776
370,0.9370,-0.2075,0.0708
371,1.2195,0.3140,0.0452
372,0.9116,-0.1326,-0.0508
373,0.9607,-0.0635,0.0059
374,1.0896,0.0991,-0.0664
375,0.9526,-0.0894,0.0513
376,1.0444,0.0950,-0.0625
377,0.9089,-0.0688,-0.0176
378,1.0122,0.0032,0.0220
379,1.0134,-0.0166,-0.0366
380,0.9939,-0.0725,0.0554
381,1.1560,0.0159,0.0034
382,0.9343,0.0359,-0.0437
383,1.0942,-0.1021,0.0227
384,1.0396,0.0334,0.0327
385,0.9666,0.0002,-0.1157
386,1.0310,0.0261,0.0603
387,1.0730,0.0090,-0.0200
388,0.8521,0.0051,-0.0278
389,1.0293,0.0144,0.1392
390,0.9685,0.0168,-0.0532
391,0.9221,-0.1497,0.0723
392,1.1560,0.0361,0.0730
393,1.0464,-0.0364,0.0059
394,1.0203,0.0308,-0.0300
395,1.0554,0.0027,0.0762
396,0.9480,0.0120,-0.0840
397,1.0417,-0.1135,0.0242
398,1.1013,0.0730,0.1157
399,0.9556,-0.0271,-0.0718
400,1.0034,0.0566,0.0657
401,0.9946,0.0166,0.0083
402,0.8950,-0.1165,0.0251
403,1.1267,0.0198,0.0566
404,1.0063,0.0598,0.0640
405,0.9683,-0.1033,0.0320
406,1.0750,0.0967,0.0317
