Sample,X,Y,Z
461,0.8970,-0.0444,0.0046
462,1.1694,0.0696,-0.0273
463,0.9568,-0.1721,-0.0864
464,1.0591,0.1267,-0.0125
465,1.0513,-0.1125,0.0745
466,1.0427,0.0657,-0.0117
467,0.9858,-0.0020,-0.0051
468,1.0132,-0.1155,0.0149
469,1.0874,0.0747,-0.0703
470,1.0112,-0.0027,0.0276
471,1.0269,-0.0308,-0.0288
472,1.0571,0.0798,0.0288
473,0.9636,-0.1514,0.0381
474,1.0903,0.0671,-0.1013
475,0.9285,-0.0393,0.0127
476,1.0903,0.0005,-0.0137
477,0.9497,-0.0110,-0.0801
478,1.0757,0.0171,-0.0708
479,1.0203,-0.1082,0.1924
480,1.0769,0.0837,-0.0903
481,0.8943,-0.1426,0.0640
482,1.1255,0.0403,-0.0330
483,0.9702,-0.0647,-0.0188
484,1.0171,-0.0208,-0.0286
485,1.0222,0.0576,0.0664
486,0.9790,-0.1421,0.0557
487,0.9695,0.0952,-0.1318
488,1.0691,-0.0642,0.0088
489,1.0906,0.0857,0.0266
490,0.9819,-0.0061,0.0686
491,0.9822,0.0088,-0.0515
492,1.0259,-0.0334,0.0610
493,0.9497,0.1272,0.0210
494,0.9460,-0.0710,-0.0757
495,1.0759,0.0745,0.0676
496,0.9548,-0.0740,0.0549
497,0.9753,-0.0044,0.0662
498,1.0532,-0.0054,0.0405
499,0.9878,-0.0610,0.0547
500,1.0144,0.0349,-0.0540
501,1.0425,0.0171,0.1052
502,0.9954,-0.0645,-0.0527
503,1.0232,0.0044,-0.0769
504,1.0593,0.0203,0.1218
505,1.0178,0.0417,-0.0515
506,1.0972,-0.1414,-0.0393
507,1.0923,0.1023,0.0571
508,0.9341,-0.1052,0.0071
509,1.0515,0.1338,-0.0229
510,1.0747,-0.2280,0.0771
511,0.9177,0.1772,-0.0017
512,1.0396,-0.1501,0.0044
513,1.0835,0.0488,0.0383
514,0.9292,0.0234,-0.0537
515,1.0190,-0.1228,0.0525
516,1.1851,0.0122,0.0083
517,0.9370,0.1267,-0.0059
518,0.9519,-0.1868,0.0481
519,1.1238,0.1304,-0.0642
520,0.8455,-0.1438,-0.0566
521,1.1519,0.1401,-0.0081
522,1.0881,-0.0576,0.0388
523,0.9373,0.0359,0.0305
524,1.0181,-0.0251,0.0410
525,0.9829,0.0540,-0.0793
526,0.9949,-0.0969,0.0925
527,1.1177,0.0913,-0.0686
528,1.0137,-0.0647,-0.0034
529,1.0222,0.0571,0.0579
530,1.0425,-0.1069,-0.0776
531,1.0261,0.0808,0.0144
532,0.9773,-0.0168,-0.0073
533,1.0505,-0.1160,-0.0210
534,1.0249,0.1711,0.0447
535,0.9106,-0.0579,-0.0449
536,1.0574,-0.0674,0.1416
537,1.0730,0.1768,0.0632
538,0.7449,-0.2493,-0.0146
539,1.2683,0.1074,0.0879
540,0.9041,0.0547,0.0112
541,0.9285,-0.1812,-0.0845
542,1.2388,0.1436,0.0662
543,0.9048,0.0139,-0.0251
544,0.8787,-0.1287,-0.0437
545,1.2729,0.0471,0.1694
546,0.8970,-0.0686,-0.0679
547,1.0806,0.0723,-0.0652
548,1.1011,0.0122,0.1697
549,0.9331,-0.0781,-0.0735
550,0.9390,-0.0044,-0.0522
551,1.1477,0.0540,0.1833
552,0.9099,-0.1057,-0.0071
553,1.0815,0.1135,-0.0193
554,0.9741,-0.0857,-0.0063
555,0.9734,0.0671,-0.0281
556,1.0181,-0.0925,0.0259
557,0.9929,0.0598,0.0459
558,1.0708,-0.0991,-0.1062
559,1.0876,0.0334,0.0510
560,1.0464,0.0876,-0.0032
561,0.9185,-0.1011,-0.0801
562,1.1619,-0.1360,0.1528
563,0.9731,0.2576,-0.0164
564,0.9036,-0.1855,-0.0005
565,1.1138,0.0388,0.0098
566,0.8931,-0.0708,0.0137
567,1.0044,-0.0669,-0.0667
568,1.2212,0.0925,0.1543
569,0.9089,0.0288,-0.0496
570,0.9578,-0.1331,-0.0166
571,1.1257,0.0417,-0.0081
572,0.8972,-0.0029,0.0051
573,1.0564,-0.0049,-0.0103
574,1.0222,-0.0374,-0.0347
575,0.9692,0.0413,0.0857
576,0.9695,-0.0667,-0.0435
577,1.0747,-0.0151,0.0120
578,0.9177,-0.0242,0.0081
579,1.0183,0.0225,0.0461
580,1.0730,0.0183,-0.0134
581,0.8940,0.0364,0.0969
582,0.9780,-0.1765,-0.0022
583,1.1394,0.1841,-0.1421
584,0.9490,-0.1399,0.0564
585,1.0532,0.0466,0.0334
586,0.9849,-0.0310,-0.1594
587,1.0190,-0.0789,0.0818
588,1.1208,-0.1025,0.0115
589,1.0574,0.1040,-0.0295
590,1.0349,-0.0452,0.1379
591,0.9236,0.0083,-0.0947
592,0.9558,0.0015,0.0352
593,1.0405,-0.0491,0.0007
594,0.9900,-0.0020,-0.0525
595,1.1157,0.1057,0.0942
596,0.9160,-0.0928,0.0320
