Sample,X,Y,Z
367,1.0405,0.0830,-0.0212
368,0.8845,-0.1270,-0.0547
369,1.1248,0.0962,0.0630
370,0.9988,-0.0664,-0.0479
371,1.0376,0.0000,-0.0610
372,1.1519,0.0535,0.1108
373,0.8464,0.0366,0.0437
374,1.0249,-0.1013,-0.0735
375,1.0574,0.0391,0.0344
376,0.9839,0.0515,-0.0015
377,1.0574,-0.0256,0.0564
378,1.0720,0.0029,0.1116
379,0.8015,-0.1167,-0.0461
380,1.0671,0.0029,0.0737
381,1.1362,0.1174,0.0007
382,0.7664,-0.1111,-0.1265
383,1.1294,0.0959,0.0383
384,1.1138,-0.0042,-0.0547
385,0.8892,-0.0190,0.0520
386,1.0681,0.1191,-0.0266
387,0.9714,-0.2473,-0.0247
388,0.9988,0.0864,0.0222
389,0.9363,-0.0266,-0.0522
390,1.1528,0.0557,0.0352
391,0.9453,0.0034,-0.0212
392,0.8481,-0.0386,-0.0178
393,1.1492,-0.0061,0.0090
394,1.0564,0.0916,0.0071
395,0.8396,-0.0671,-0.0486
396,1.1440,0.1228,0.0688
397,0.9812,-0.1282,0.0664
398,0.9194,-0.0251,-0.1331
399,1.2019,0.0125,0.0994
400,1.0115,0.0181,0.0657
401,0.8745,0.0120,0.0022
402,1.0728,-0.0659,0.0032
403,1.0381,-0.0422,0.1528
404,0.9822,0.0723,0.0251
405,1.0173,-0.0667,0.0479
406,1.0820,0.0632,-0.0603
407,0.8423,-0.1555,0.1782
408,1.1863,0.1274,-0.1494
409,1.0076,-0.0264,-0.0374
410,0.9753,0.1558,-0.0720
411,0.9536,-0.2104,-0.0950
412,1.1658,0.1113,0.0259
413,0.8367,-0.1018,0.0366
414,1.1511,-0.0208,-0.1118
415,1.1746,0.1321,0.1306
416,0.8113,-0.1560,-0.0129
417,1.1052,-0.0315,0.0193
418,1.1316,0.1831,0.0525
419,0.8354,-0.3054,-0.0034
420,1.2283,0.2739,-0.0422
421,1.0076,0.0098,-0.0139
422,0.8403,-0.2056,0.0317
423,1.1462,0.1147,-0.0493
424,0.9526,-0.0649,0.0334
425,1.0730,-0.0681,0.0107
426,1.1831,0.1316,0.0850
427,0.9539,-0.1914,0.0625
428,1.0562,0.0833,-0.0073
429,1.0317,0.0078,0.0203
430,0.9233,-0.0576,0.0417
431,1.1128,0.0547,-0.0435
432,1.0469,-0.0464,0.0415
433,1.0300,0.0608,0.1367
434,0.9324,-0.0120,-0.0398
435,0.9331,-0.1030,-0.0093
436,1.0542,-0.0347,0.0522
437,1.0347,0.0935,-0.1047
438,1.0728,0.0220,0.0298
439,1.0552,-0.0188,0.1221
440,0.8823,-0.1091,-0.0813
441,1.0476,0.0366,0.0137
442,1.1919,0.0933,0.0701
443,0.9016,-0.0344,0.0105
444,1.0076,0.0249,0.0857
445,1.0769,-0.1470,0.0283
446,1.0435,0.0750,0.0645
447,0.9087,0.0776,0.0222
448,1.0854,-0.0986,0.1174
449,1.0193,0.0237,-0.0676
450,0.8940,-0.1194,-0.0288
451,1.2595,0.0840,0.1287
452,1.0388,0.0112,-0.0466
453,0.8894,-0.0881,-0.0139
454,1.1724,-0.0596,0.1851
455,1.0457,0.0967,-0.1475
456,0.8718,-0.1780,0.0894
457,1.2563,0.1904,0.1084
458,0.8123,-0.2058,-0.1282
459,1.0815,0.1182,0.0010
460,1.0894,-0.0352,0.1792
461,0.9136,0.0696,-0.0908
462,0.9771,-0.2097,0.0002
463,1.2234,0.1772,0.0830
464,0.8914,-0.0308,-0.1267
465,1.0767,0.0085,0.1050
466,1.0701,-0.0659,0.0725
467,0.9138,0.0042,-0.1177
468,1.0535,-0.0635,0.1099
469,1.2144,0.1042,0.0142
470,0.7998,-0.1169,-0.0059
471,1.1069,0.0906,0.0820
472,1.0203,-0.0437,0.1082
473,0.9246,-0.0098,-0.0972
474,1.0464,-0.1003,0.1267
475,1.1033,0.1499,0.0012
476,0.9050,-0.0715,0.0171
477,1.0710,-0.0657,-0.0757
478,1.0437,0.0605,0.0247
479,0.9858,-0.0808,-0.1145
480,1.0747,0.0112,0.0269
481,1.0593,0.0217,-0.0283
482,0.9900,-0.2048,-0.0303
483,1.1382,0.1873,0.0085
484,0.9409,-0.0649,-0.1033
485,0.9976,-0.1013,0.0977
486,1.1111,0.1501,-0.0122
487,0.8521,-0.1799,-0.0530
488,1.0876,0.1614,0.0671
489,0.9705,-0.1045,-0.0674
490,0.9614,-0.1162,-0.0981
491,1.1182,0.1990,0.0056
492,0.9490,-0.1599,-0.0366
493,1.0327,0.0715,-0.1340
494,1.0457,0.0334,-0.0344
495,0.8826,-0.1765,-0.0322
496,1.1763,0.2783,-0.1086
497,0.9126,-0.2583,-0.0005
498,1.0005,0.1340,-0.0164
499,1.0261,-0.0442,0.0764
500,0.9412,-0.0254,-0.0620
501,1.0359,-0.0400,-0.0471
502,1.0874,0.0522,-0.0967
503,1.0046,-0.0457,0.0325
504,1.0125,0.1304,-0.1021
505,0.9460,-0.2556,-0.0833
506,1.1548,0.1775,-0.0317
507,1.0085,-0.1501,0.0259
508,1.0837,0.0469,0.0112
509,0.9988,0.0193,-0.0728
510,0.9106,-0.1516,-0.0676
511,1.0913,0.0283,0.0874
512,1.0344,0.0605,-0.0298
513,0.9116,-0.0845,-0.0073
514,1.0435,0.1384,0.0410
515,0.8875,-0.1211,0.0178
516,1.0154,-0.0054,-0.0322
517,1.1658,0.0686,0.0828
518,0.9077,0.0002,-0.1274
519,0.9897,-0.0242,0.0762
520,1.0759,0.0249,0.0000
521,0.9907,-0.1353,-0.0471
522,1.1140,0.2915,-0.0076
523,0.9438,-0.2014,0.0327
524,0.9929,0.0796,0.0671
525,0.9685,-0.1270,0.0208
526,1.0662,-0.0593,0.0732
527,1.1030,0.2112,0.0522
528,0.8667,-0.1638,-0.0151
529,1.1541,-0.0559,-0.0364
530,1.1079,0.1279,-0.0076
